label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
L,0.1887044906616211,0.7472957372665405,-6.648793515751095e-08,0.2599562406539917,0.7122877836227417,-0.038444485515356064,0.3373665511608124,0.6427189111709595,-0.06462247669696808,0.40864813327789307,0.6113894581794739,-0.09032069146633148,0.45891299843788147,0.6013656854629517,-0.1145494282245636,0.2779974937438965,0.4991617798805237,-0.05592883750796318,0.2944880425930023,0.39336639642715454,-0.08960913866758347,0.30509692430496216,0.3281065821647644,-0.10452213883399963,0.31123432517051697,0.2672722637653351,-0.11658595502376556,0.22115904092788696,0.49209246039390564,-0.05857495591044426,0.2197214663028717,0.49397599697113037,-0.09815066307783127,0.22240880131721497,0.588984489440918,-0.09455794095993042,0.2329268753528595,0.6012332439422607,-0.08858427405357361,0.16811910271644592,0.5099931955337524,-0.06596876680850983,0.16344180703163147,0.5149638056755066,-0.11196989566087723,0.17537203431129456,0.6002816557884216,-0.09261574596166611,0.1886707991361618,0.6104857921600342,-0.0741807073354721,0.11923342943191528,0.5350533723831177,-0.077202707529068,0.11235933005809784,0.5301212072372437,-0.10939455032348633,0.12798434495925903,0.5910946130752563,-0.09676621109247208,0.13874901831150055,0.6090003848075867,-0.08368292450904846
L,0.3721325993537903,0.7437946796417236,-7.744710983637049e-10,0.43464210629463196,0.714312732219696,-0.03860167786478996,0.49540215730667114,0.6620737314224243,-0.06517749279737473,0.5578020811080933,0.6308457255363464,-0.0893278419971466,0.6047059893608093,0.6087833046913147,-0.11116953194141388,0.44955766201019287,0.5427526831626892,-0.04865313321352005,0.4517991542816162,0.4435926079750061,-0.07932375371456146,0.45322316884994507,0.3831329941749573,-0.09264708310365677,0.4501427412033081,0.3279905915260315,-0.1014486700296402,0.4049236476421356,0.5413283705711365,-0.046199362725019455,0.4037590026855469,0.5236707329750061,-0.07593043148517609,0.4041697382926941,0.60514897108078,-0.06731943786144257,0.4127098023891449,0.6133627891540527,-0.05722876638174057,0.36342763900756836,0.5543267726898193,-0.04919159784913063,0.36061686277389526,0.5461687445640564,-0.08479079604148865,0.36873185634613037,0.6183624267578125,-0.06353864073753357,0.3799413740634918,0.6249711513519287,-0.04391082376241684,0.32351306080818176,0.5712671875953674,-0.055971674621105194,0.3161594271659851,0.5572319626808167,-0.07902267575263977,0.3310406506061554,0.6129002571105957,-0.06335333734750748,0.34158390760421753,0.6325468420982361,-0.04838933050632477
C,0.40446823835372925,0.5632429718971252,2.6844293188332813e-07,0.4806879758834839,0.5370429754257202,-0.000836088031064719,0.5350067615509033,0.50651615858078,-0.02871050499379635,0.5847719311714172,0.5013231635093689,-0.06129561737179756,0.6303489208221436,0.49728652834892273,-0.09364378452301025,0.4905582666397095,0.3771417737007141,-0.06017088145017624,0.5204191207885742,0.29388248920440674,-0.10822883993387222,0.561479389667511,0.2649744749069214,-0.13378506898880005,0.5909079909324646,0.2589848041534424,-0.14632903039455414,0.45811498165130615,0.38439711928367615,-0.08305564522743225,0.5329433679580688,0.42801299691200256,-0.1282680630683899,0.51884526014328,0.474456250667572,-0.12438542395830154,0.49794790148735046,0.47935250401496887,-0.11553437262773514,0.43087154626846313,0.41714179515838623,-0.10726607590913773,0.5063590407371521,0.4821856915950775,-0.1509370505809784,0.495069682598114,0.5174320340156555,-0.13327153027057648,0.4744203984737396,0.5085330009460449,-0.11472266167402267,0.4104275703430176,0.46207016706466675,-0.13118456304073334,0.4761494994163513,0.5093165040016174,-0.1527620404958725,0.4720005691051483,0.5371429920196533,-0.13393740355968475,0.4495345652103424,0.5318916440010071,-0.11782681941986084
C,0.4031336307525635,0.5654656291007996,2.774545748707169e-07,0.47948819398880005,0.540178120136261,-0.0014741000486537814,0.5345423221588135,0.508419394493103,-0.027896612882614136,0.5838575959205627,0.5013720989227295,-0.059016402810811996,0.6291443109512329,0.49630582332611084,-0.08981398493051529,0.489388108253479,0.3796221911907196,-0.05679047107696533,0.5187170505523682,0.2953605651855469,-0.10353495180606842,0.5601094961166382,0.2680276036262512,-0.12864264845848083,0.5900912880897522,0.26289302110671997,-0.14100252091884613,0.45746713876724243,0.3854916989803314,-0.0783877894282341,0.5320009589195251,0.4304790794849396,-0.12401247769594193,0.518865168094635,0.4781111478805542,-0.12177981436252594,0.49871933460235596,0.4841872751712799,-0.11358432471752167,0.4306376874446869,0.41812819242477417,-0.10123854130506516,0.5058450102806091,0.484884113073349,-0.145344540476799,0.49518561363220215,0.5204323530197144,-0.12904532253742218,0.47492459416389465,0.5127393007278442,-0.110817089676857,0.41061142086982727,0.4632449746131897,-0.12380307167768478,0.47642338275909424,0.5129708051681519,-0.14612215757369995,0.47228533029556274,0.5412486791610718,-0.12843143939971924,0.45056596398353577,0.5364819765090942,-0.11261846870183945
C,0.31023210287094116,0.5883539915084839,2.8083084657737345e-07,0.42013436555862427,0.5729445815086365,0.012665542773902416,0.49010032415390015,0.5419276356697083,-0.019096776843070984,0.5525793433189392,0.5346540212631226,-0.060059595853090286,0.6110832691192627,0.5212463140487671,-0.10048005729913712,0.4337981939315796,0.35114359855651855,-0.06378591805696487,0.49713242053985596,0.258971631526947,-0.11608926951885223,0.5583447813987732,0.24648304283618927,-0.13722899556159973,0.6000922918319702,0.2652071714401245,-0.1452092081308365,0.4050467908382416,0.36799320578575134,-0.10167684406042099,0.5130747556686401,0.439447820186615,-0.1518811583518982,0.48514804244041443,0.4907180666923523,-0.1393619179725647,0.45468759536743164,0.4894195795059204,-0.12311133742332458,0.3820629417896271,0.4146979749202728,-0.14048701524734497,0.48722535371780396,0.5099114179611206,-0.18646836280822754,0.45719999074935913,0.5442519187927246,-0.15897426009178162,0.4249608516693115,0.5219805240631104,-0.13472139835357666,0.3696381449699402,0.47764986753463745,-0.17838111519813538,0.45515644550323486,0.5371613502502441,-0.1986280083656311,0.44196414947509766,0.5682041645050049,-0.17253611981868744,0.41136330366134644,0.5581663250923157,-0.15237796306610107
E,0.17700231075286865,0.5682663917541504,1.7753174930135174e-08,0.25696325302124023,0.4598649740219116,0.018114451318979263,0.3342665731906891,0.4617168605327606,0.023936666548252106,0.38323330879211426,0.507411003112793,0.0358271449804306,0.40979185700416565,0.5568366646766663,0.045922115445137024,0.38192516565322876,0.45456722378730774,-0.04205206036567688,0.48180335760116577,0.4192255139350891,-0.0577944852411747,0.5462211966514587,0.37902966141700745,-0.06476590037345886,0.5957319736480713,0.3582117557525635,-0.06700383126735687,0.3808276653289795,0.5320512652397156,-0.04197298362851143,0.4957345128059387,0.5370045900344849,-0.056548021733760834,0.5666545629501343,0.5333253145217896,-0.06323105841875076,0.6223056316375732,0.538988471031189,-0.06588851660490036,0.3683750629425049,0.6041560769081116,-0.03367067128419876,0.4644310176372528,0.6322104930877686,-0.04653191566467285,0.5293520092964172,0.6404922604560852,-0.0622522197663784,0.5774136781692505,0.6569772362709045,-0.0708497166633606,0.34843334555625916,0.6564416885375977,-0.0187098179012537,0.37293949723243713,0.6168474555015564,-0.010838693007826805,0.35590627789497375,0.5742904543876648,0.0007953651365824044,0.3316028416156769,0.5685468912124634,0.009369408711791039
E,0.14934980869293213,0.5230110287666321,9.93983277908228e-08,0.23028479516506195,0.39893192052841187,0.0012519211741164327,0.3216460943222046,0.3928372859954834,-0.0008069497998803854,0.37710994482040405,0.4478834867477417,0.00587119348347187,0.4097878038883209,0.5009668469429016,0.010268226265907288,0.3650065064430237,0.3760525584220886,-0.062292639166116714,0.47527042031288147,0.3369569778442383,-0.0875500962138176,0.5468398332595825,0.2951226830482483,-0.10120104253292084,0.6000323295593262,0.2722984254360199,-0.10830351710319519,0.3631678819656372,0.4611191153526306,-0.06053883582353592,0.49280235171318054,0.46035152673721313,-0.08359970897436142,0.5752878785133362,0.45925989747047424,-0.09828539937734604,0.6379809379577637,0.46894291043281555,-0.10741452127695084,0.3526418209075928,0.5422408580780029,-0.05227747559547424,0.4652179181575775,0.5689813494682312,-0.07620163261890411,0.538872480392456,0.5816193222999573,-0.10173442959785461,0.5919146537780762,0.6025755405426025,-0.11766219884157181,0.33465248346328735,0.6053017973899841,-0.03843999281525612,0.36147889494895935,0.5617853403091431,-0.04703192785382271,0.3370473086833954,0.5168035626411438,-0.04471211135387421,0.306414395570755,0.5119736790657043,-0.04201517626643181
I,0.3167242407798767,0.7212209701538086,-6.24687174877181e-07,0.3947887122631073,0.7392292022705078,-0.036783989518880844,0.4843141734600067,0.6919804811477661,-0.05158739164471626,0.5319597721099854,0.6106166243553162,-0.06483151763677597,0.4928772449493408,0.5461127161979675,-0.07283677160739899,0.4761905372142792,0.5503193736076355,-0.03402387723326683,0.4993784725666046,0.4645942449569702,-0.07790980488061905,0.46142974495887756,0.531170666217804,-0.09600912779569626,0.4348360300064087,0.5919017791748047,-0.09797322005033493,0.422459214925766,0.5238251686096191,-0.034443262964487076,0.4388160705566406,0.46248066425323486,-0.0910327211022377,0.4009835124015808,0.5618128180503845,-0.10562250018119812,0.38192376494407654,0.6271249055862427,-0.10127854347229004,0.36833804845809937,0.5037862062454224,-0.04212256893515587,0.3760916292667389,0.45217210054397583,-0.09752940386533737,0.35813701152801514,0.544672429561615,-0.10701208561658859,0.3487839698791504,0.6092826128005981,-0.09763526171445847,0.3176271319389343,0.4879886507987976,-0.051618993282318115,0.32340744137763977,0.38390058279037476,-0.07845151424407959,0.3287372589111328,0.3245888352394104,-0.08668772131204605,0.3388920724391937,0.26243504881858826,-0.08772096037864685
I,0.3139805495738983,0.7059539556503296,-6.079261538616265e-07,0.38867872953414917,0.7211174964904785,-0.037357572466135025,0.4767157733440399,0.6750227808952332,-0.05249088257551193,0.5246967077255249,0.5951366424560547,-0.0660412460565567,0.489528089761734,0.5303977131843567,-0.07443279772996902,0.4728713035583496,0.5316625833511353,-0.03204890340566635,0.4951939284801483,0.4498060941696167,-0.07536099851131439,0.4580599069595337,0.512377142906189,-0.09401533007621765,0.431942343711853,0.5727980136871338,-0.09616734087467194,0.4197152554988861,0.5053463578224182,-0.03186111897230148,0.4360519349575043,0.4463884234428406,-0.08696172386407852,0.3992839455604553,0.5411429405212402,-0.10194847732782364,0.3810071647167206,0.6060802340507507,-0.097785085439682,0.36627888679504395,0.48637354373931885,-0.03892349451780319,0.3752240240573883,0.4373357892036438,-0.09258045256137848,0.3568382263183594,0.5258871912956238,-0.10192857682704926,0.3469831347465515,0.5896796584129333,-0.09239993989467621,0.3159927725791931,0.47265249490737915,-0.04798884689807892,0.320904016494751,0.37009334564208984,-0.07354385405778885,0.3263990581035614,0.31006550788879395,-0.08153516799211502,0.33724087476730347,0.24952581524848938,-0.08207641541957855
I,0.4655461609363556,0.697702944278717,-6.952221269784786e-07,0.40687787532806396,0.6306017637252808,0.009749281220138073,0.36175501346588135,0.5456002950668335,0.006069940980523825,0.35254886746406555,0.4750104546546936,0.0011294018477201462,0.37102946639060974,0.4424855709075928,-0.003445026930421591,0.3968690037727356,0.43760809302330017,-0.02125301957130432,0.4184865355491638,0.3698183000087738,-0.021797167137265205,0.42946857213974,0.4127542972564697,-0.01635737717151642,0.4325196444988251,0.448605477809906,-0.011741251684725285,0.4532524347305298,0.43080583214759827,-0.028670229017734528,0.47093552350997925,0.3752936124801636,-0.020830046385526657,0.47379565238952637,0.42179834842681885,-0.015067070722579956,0.47239357233047485,0.4551617205142975,-0.016100795939564705,0.5051770210266113,0.44410520792007446,-0.03246111050248146,0.5206800699234009,0.37748390436172485,-0.02491265907883644,0.5196198225021362,0.4163922965526581,-0.01864895038306713,0.5118746161460876,0.45211535692214966,-0.018868565559387207,0.5543158650398254,0.4706716239452362,-0.03410156071186066,0.5978687405586243,0.3764919638633728,-0.029227839782834053,0.6226508617401123,0.32971620559692383,-0.02172030322253704,0.6382772922515869,0.2874109148979187,-0.018064038828015327
I,0.24884413182735443,0.6591362953186035,-4.6364499439732754e-07,0.3167528212070465,0.6621418595314026,-0.019434649497270584,0.3824346959590912,0.6283721327781677,-0.028179924935102463,0.4105605483055115,0.583240270614624,-0.037494659423828125,0.3740372061729431,0.5515735149383545,-0.04389826953411102,0.356136679649353,0.518010139465332,-0.019154751673340797,0.37647512555122375,0.47292935848236084,-0.048015039414167404,0.3513488471508026,0.5272831320762634,-0.06244668364524841,0.3285713195800781,0.5734748244285583,-0.06491373479366302,0.31602582335472107,0.49809977412223816,-0.02334675006568432,0.3358488976955414,0.46489644050598145,-0.05850115418434143,0.31462812423706055,0.5307177901268005,-0.07067105919122696,0.29668229818344116,0.5783511996269226,-0.07093405723571777,0.2778854966163635,0.48248133063316345,-0.031715359538793564,0.2892770767211914,0.4495488405227661,-0.06394214183092117,0.28228479623794556,0.5125835537910461,-0.0730089321732521,0.27529650926589966,0.5595964789390564,-0.07047122716903687,0.24250417947769165,0.4709266424179077,-0.04123733937740326,0.2454814463853836,0.39118102192878723,-0.05246162787079811,0.2519984841346741,0.34815073013305664,-0.05635453760623932,0.26158618927001953,0.3058018684387207,-0.05831334739923477
I,0.3190567195415497,0.6327605247497559,-4.7563787575199967e-07,0.27055254578590393,0.5599527955055237,0.020889783278107643,0.24624022841453552,0.49429595470428467,0.022463301196694374,0.25986671447753906,0.43886202573776245,0.01949521340429783,0.28946125507354736,0.42053401470184326,0.018048280850052834,0.2556709349155426,0.42071855068206787,-0.00045285336091183126,0.2999210059642792,0.3762817978858948,0.003595510730519891,0.31422266364097595,0.40436941385269165,0.013375017791986465,0.30785268545150757,0.43775713443756104,0.0218395683914423,0.2989901304244995,0.4165976345539093,-0.013339580968022346,0.3360223174095154,0.37774163484573364,-0.0006745402934029698,0.3462289869785309,0.406512975692749,0.007582844700664282,0.34091809391975403,0.4336550533771515,0.009091726504266262,0.3430529534816742,0.42714935541152954,-0.0226539745926857,0.3695752024650574,0.3811302185058594,-0.013038001023232937,0.3736458718776703,0.4091206192970276,-0.006199870258569717,0.36594271659851074,0.435153603553772,-0.005389501806348562,0.38303476572036743,0.4481196999549866,-0.02941158600151539,0.41464945673942566,0.3691762089729309,-0.02209731563925743,0.43273964524269104,0.33221685886383057,-0.013951377011835575,0.44226980209350586,0.3007640242576599,-0.009322796016931534
